,title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,pub_year,century,is_big_book
1605,Dear John,Nicholas Sparks,4.03,eng,276,502726,9645,10/30/2006,Warner Books (NY),2006,21th,small
1606,All the King's Men,Robert Penn Warren,4.09,eng,439,47324,1720,9/1/1996,Harcourt Brace,1996,20th,big
1607,Cliffs notes on Warren's All the King's Men,L. David Allen,3.45,eng,80,3,1,1/13/1964,Cliffs Notes,1964,20th,small
1608,All the King's Men: Three Stage Versions,Robert Penn Warren/James A. Perkins/James A. Grimshaw,4.0,eng,264,3,0,7/4/2000,University of Georgia Press,2000,21th,small
1609,Men's Health: Book of Muscle - The World's Most Complete Guide to Building Your Body,Ian King/Lou Schuler/Frederick Deluvier,3.98,eng,364,256,13,10/17/2003,Rodale Books,2003,21th,small
1610,Surely You're Joking  Mr. Feynman!: Adventures of a Curious Character,Richard P. Feynman,4.28,eng,391,106526,3685,4/12/1997,W. W. Norton & Company,1997,20th,small
1611,The Feynman Lectures on Physics  3 Vols,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,4.6,eng,3,78,7,1/1/1989,Addison Wesley Publishing Company,1989,20th,small
1612,What Do You Care What Other People Think?,Richard P. Feynman,4.27,eng,256,15700,556,1/11/2001,W.W. Norton & Company,2001,21th,small
1613,Perfectly Reasonable Deviations from the Beaten Track: Letters of Richard P. Feynman,Richard P. Feynman/Michelle Feynman,4.25,eng,512,1874,93,4/5/2005,Basic Books,2005,21th,big
1614,QED: The Strange Theory of Light and Matter,Richard P. Feynman,4.24,eng,158,13463,320,10/21/1988,Princeton University Press,1988,20th,small
1615,Kiffe Kiffe Demain (French Edition),Faïza Guène,3.4,fre,182,19,1,10/1/2005,French & European Publications,2005,21th,small
1616,iWoz,Steve Wozniak/Gina Smith,3.87,eng,313,3536,375,9/17/2006,W. W. Norton  Company,2006,21th,small
1617,Cradle to Cradle: Remaking the Way We Make Things,William McDonough/Michael Braungart,4.11,eng,193,9017,820,4/22/2002,North Point Press,2002,21th,small
1618,Cradle and All,James Patterson,3.86,eng,384,27869,869,2/1/2001,Vision,2001,21th,small
1619,The Creation of the American Republic  1776-1787,Gordon S. Wood,4.12,eng,675,1792,43,4/6/1998,Omohundro Institute and University of North Carolina Press,1998,20th,big
1620,Power  Faith  and Fantasy: America in the Middle East 1776 to the Present,Michael B. Oren,3.98,eng,832,1510,216,1/16/2007,W. W. Norton  Company,2007,21th,big
1621,Problems of the Self: Philosophical Papers 1956 1972,Bernard Williams,3.97,eng,276,57,2,3/25/1976,Cambridge University Press,1976,20th,small
1622,Moral Luck: Philosophical Papers 1973-1980,Bernard Williams,4.09,eng,188,114,5,3/12/1981,Cambridge University Press,1981,20th,small
1623,Ethics and the Limits of Philosophy,Bernard Williams,4.06,eng,230,556,20,3/15/1986,Harvard University Press,1986,20th,small
1624,On Rhetoric and Language: Four Key Dialogues,Jean Nienkamp,4.2,eng,232,10,1,7/1/1999,Routledge,1999,20th,small
1625,The Norton Anthology of Modern and Contemporary Poetry,Jahan Ramazani/Richard Ellmann/Robert O'Clair,4.23,eng,1136,286,21,4/17/2003,W. W. Norton  Company,2003,21th,big
1626,The Elephant War,Gillian Avery,3.67,eng,256,19,3,10/1/2000,Jane Nissen Books,2000,21th,small
1627,The Wind in the Willows,Kenneth Grahame/Gillian Avery,3.99,eng,197,147748,3490,10/27/2005,Penguin Books,2005,21th,small
